Date[G],Last
20011226,2716.234
20011227,2768.683
20011228,2768.683
20011231,2799.187
20020101,2799.187
20020102,2798.175
20020103,2830
20020104,2842.394
20020107,2820.849
20020108,2784.182
20020109,2775.831
20020110,2755.672
20020111,2758.446
20020114,2724.457
20020115,2722.69
20020116,2685.827
20020117,2700.046
20020118,2706.548
20020121,2697.027
20020122,2679.532
20020123,2688.738
20020124,2706.809
20020125,2675.972
20020128,2693.529
20020129,2656.401
20020130,2623.824
20020131,2650.666
20020201,2644.662
20020204,2631.308
20020205,2590.737
20020206,2570.496
20020207,2597.756
20020208,2606.635
20020211,2640.902
20020212,2649.968
20020213,2660.502
20020214,2683.302
20020215,2671.223
20020218,2654.567
20020219,2608.577
20020220,2588.383
20020221,2620.098
20020222,2615.147
20020225,2628.063
20020226,2632.595
20020227,2663.862
20020228,2669.387
20020301,2700.409
20020304,2786.05
20020305,2776.06
20020306,2797.317
20020307,2853.716
20020308,2856.485
20020311,2855.078
20020312,2811.575
20020313,2801.718
20020314,2828.841
20020315,2852.419
20020318,2844.294
20020319,2866.627
20020320,2843.921
20020321,2830.141
20020322,2818.939
20020325,2795.853
20020326,2797.496
20020327,2799.53
20020328,2828.09
20020401,2827.634
20020402,2826.226
20020403,2831.631
20020404,2821.246
20020405,2815.291
20020408,2778.504
20020409,2775.802
20020410,2803.767
20020411,2774.2
20020412,2766.826
20020415,2792.434
20020416,2838.099
20020417,2863
20020418,2862.306
20020419,2857.628
20020422,2853.036
20020423,2848.663
20020424,2845.416
20020425,2845.58
20020426,2832.237
20020429,2829.306
20020430,2835.507
20020501,2848.343
20020502,2839.74
20020503,2852.863
20020506,2849.346
20020507,2810.805
20020508,2848.601
20020509,2846.677
20020510,2834.724
20020513,2842.945
20020514,2841.049
20020515,2881.035
20020516,2886.653
20020517,2915.005
20020520,2908.692
20020521,2902.9
20020522,2901.488
20020523,2889.814
20020524,2898.218
20020527,2889.774
20020528,2890.548
20020529,2888.648
20020530,2875.521
20020531,2873.973
20020603,2875.255
20020604,2839.127
20020605,2809.97
20020606,2815.259
20020607,2784.056
20020610,2782.077
20020611,2795.447
20020612,2756.053
20020613,2722.825
20020614,2667.058
20020617,2703.149
20020618,2712.193
20020619,2679.079
20020620,2664.955
20020621,2664.842
20020624,2639.168
20020625,2669.396
20020626,2656.316
20020627,2673.426
20020628,2760.641
20020701,2765.308
20020702,2703.966
20020703,2651.529
20020704,2679.494
20020705,2747.358
20020708,2769.954
20020709,2774.129
20020710,2694.492
20020711,2617.854
20020712,2623.844
20020715,2550.848
20020716,2545.219
20020717,2595.013
20020718,2633.86
20020719,2548.837
20020722,2446.909
20020723,2391.117
20020724,2358.15
20020725,2421.988
20020726,2391.757
20020729,2469.91
20020730,2494.08
20020731,2488.321
20020801,2417.448
20020802,2418.266
20020805,2364.848
20020806,2374.941
20020807,2390.366
20020808,2446.665
20020809,2491.563
20020812,2457.443
20020813,2473.053
20020814,2457.962
20020815,2502.472
20020816,2517.308
20020819,2538.185
20020820,2511.226
20020821,2539.439
20020822,2564.31
20020823,2543.218
20020826,2539.903
20020827,2580.996
20020828,2507.246
20020829,2474.339
20020830,2483.262
20020902,2454.776
20020903,2394.101
20020904,2381.262
20020905,2378.701
20020906,2410.725
20020909,2391.115
20020910,2419.967
20020911,2449.77
20020912,2400.765
20020913,2360.404
20020916,2340.833
20020917,2336.23
20020918,2290.945
20020919,2281.629
20020920,2264.611
20020923,2209.987
20020924,2176.26
20020925,2189.219
20020926,2263.698
20020927,2274.501
20020930,2217.192
20021001,2220.341
20021002,2256.393
20021003,2233.785
20021004,2198.596
20021007,2155.804
20021008,2127.492
20021009,2119.592
20021010,2144.131
20021011,2224.963
20021014,2212.456
20021015,2313.497
20021016,2292.883
20021017,2330.804
20021018,2326.074
20021021,2329.022
20021022,2303.814
20021023,2261.228
20021024,2294.514
20021025,2298.825
20021028,2328.63
20021029,2264.544
20021030,2303.378
20021031,2336.528
20021101,2328.255
20021104,2384.969
20021105,2412.705
20021106,2390.16
20021107,2376.982
20021108,2359.446
20021111,2330.966
20021112,2351.715
20021113,2332.138
20021114,2349.331
20021115,2376.109
20021118,2383.431
20021119,2375.468
20021120,2363.449
20021121,2422.243
20021122,2430.158
20021125,2414.753
20021126,2380.06
20021127,2411.787
20021128,2447.288
20021129,2442.871
20021202,2434.133
20021203,2401.419
20021204,2384.456
20021205,2359.98
20021206,2366.973
20021209,2328.54
20021210,2333.946
20021211,2347.725
20021212,2337.043
20021213,2324.567
20021216,2360.085
20021217,2356.675
20021218,2309.367
20021219,2308.288
20021220,2326.47
20021223,2333.084
20021224,2345.12
20021226,2354.581
20021227,2317.035
20021230,2342.958
20021231,2360.913
20030102,2388.077
20030103,2406.255
20030106,2439.439
20030107,2408.701
20030108,2369.613
20030109,2395.642
20030110,2408.861
20030113,2414.311
20030114,2435.342
20030115,2416.911
20030116,2413.544
20030117,2389.811
20030120,2361.562
20030121,2349.309
20030122,2317.505
20030123,2325.781
20030124,2314.801
20030127,2248.855
20030128,2245.858
20030129,2249.093
20030130,2268.174
20030131,2262.53
20030203,2295.642
20030204,2269.403
20030205,2292.515
20030206,2252.895
20030207,2234.621
20030210,2216.959
20030211,2242.569
20030212,2225.577
20030213,2227.792
20030214,2248.629
20030217,2274.854
20030218,2284.114
20030219,2257.116
20030220,2256.365
20030221,2262.065
20030224,2244.066
20030225,2183.636
20030226,2180.935
20030227,2182.109
20030228,2210.81
20030303,2233.873
20030304,2207.263
20030305,2201.051
20030306,2182.484
20030307,2149.118
20030310,2109.098
20030311,2096.953
20030312,2049.821
20030313,2103.336
20030314,2156.171
20030317,2188.576
20030318,2193.252
20030319,2211.163
20030320,2217.205
20030321,2252.827
20030324,2219.726
20030325,2231.453
20030326,2241.156
20030327,2221.087
20030328,2213.892
20030331,2169.029
20030401,2189.157
20030402,2226.472
20030403,2230.752
20030404,2245.671
20030407,2298.476
20030408,2274.187
20030409,2270.907
20030410,2259.219
20030411,2251.724
20030414,2267.746
20030415,2305.228
20030416,2298.636
20030417,2320.57
20030422,2334.859
20030423,2355.314
20030424,2345.981
20030425,2315.218
20030428,2344.759
20030429,2345.058
20030430,2384.105
20030501,2396.12
20030502,2401.489
20030505,2424.665
20030506,2472.686
20030507,2460.489
20030508,2428.636
20030509,2451.009
20030512,2468.193
20030513,2469.605
20030514,2474.012
20030515,2483.014
20030516,2501.645
20030519,2457.849
20030520,2461.363
20030521,2448.097
20030522,2474.774
20030523,2490.004
20030526,2495.796
20030527,2499.246
20030528,2517.298
20030529,2544.165
20030530,2530.776
20030602,2574.971
20030603,2561.528
20030604,2577.184
20030605,2603.243
20030606,2625.82
20030609,2617.74
20030610,2612.151
20030611,2655.989
20030612,2668.627
20030613,2657.306
20030616,2688.937
20030617,2714.329
20030618,2707.496
20030619,2677.071
20030620,2681.716
20030623,2640.898
20030624,2613.407
20030625,2630.307
20030626,2600.474
20030627,2609.831
20030630,2593.412
20030701,2589.754
20030702,2633.994
20030703,2659.505
20030704,2643.794
20030707,2677.354
20030708,2670.123
20030709,2663.256
20030710,2644.91
20030711,2641.631
20030714,2675.331
20030715,2652.767
20030716,2633.248
20030717,2594.293
20030718,2602.068
20030721,2604.149
20030722,2611.632
20030723,2635.041
20030724,2675.62
20030725,2673.487
20030728,2694.756
20030729,2687.238
20030730,2660.278
20030731,2656.578
20030801,2643.195
20030804,2635.203
20030805,2644.443
20030806,2619.249
20030807,2630.374
20030808,2637.373
20030811,2655.619
20030812,2665.852
20030813,2682.316
20030814,2710.278
20030815,2712.646
20030818,2722.22
20030819,2722.672
20030820,2736.241
20030821,2735.309
20030822,2724.809
20030825,2713.383
20030826,2691.425
20030827,2704.558
20030828,2711.445
20030829,2721.194
20030901,2760.428
20030902,2751.512
20030903,2782.743
20030904,2785.211
20030905,2797.784
20030908,2821.672
20030909,2827.356
20030910,2804.516
20030911,2793.473
20030912,2811.969
20030915,2818.709
20030916,2838.521
20030917,2862.869
20030918,2890.714
20030919,2889.817
20030922,2868.943
20030923,2865.671
20030924,2867.872
20030925,2845.403
20030926,2822.826
20030929,2819.635
20030930,2805.62
20031001,2859.05
20031002,2886.682
20031003,2931.988
20031006,2933.704
20031007,2948.76
20031008,2937.618
20031009,2967.484
20031010,2985.668
20031013,2997.305
20031014,2999.33
20031015,3003.341
20031016,3016.401
20031017,3002.391
20031020,3010.33
20031021,3016.904
20031022,2991.566
20031023,2931.687
20031024,2942.292
20031027,2962.012
20031028,2978.078
20031029,2998.104
20031030,3008.373
20031031,2980.67
20031103,2979.363
20031104,3004.687
20031105,2985.312
20031106,2964.72
20031107,3003.934
20031110,2993.59
20031111,2964.065
20031112,2989.859
20031113,3023.375
20031114,3034.435
20031117,2969.953
20031118,2995.841
20031119,2968.436
20031120,2977.414
20031121,2985.539
20031124,2994.465
20031125,3006.786
20031126,3036.84
20031127,3044.32
20031128,3047.363
20031201,3092.443
20031202,3111.298
20031203,3128.419
20031204,3123.303
20031205,3121.211
20031208,3112.172
20031209,3126.404
20031210,3099.103
20031211,3101.248
20031212,3131.269
20031215,3160.266
20031216,3141.524
20031217,3143.613
20031218,3160.845
20031219,3173.682
20031222,3185.995
20031223,3198.783
20031224,3210.672
20031225,3211.223
20031226,3215.067
20031229,3234.706
20031230,3266.383
20031231,3285.575
20040101,3285.575
20040102,3308.701
20040105,3356.242
20040106,3369.774
20040107,3344.506
20040108,3376.993
20040109,3394.439
20040112,3382.972
20040113,3380.885
20040114,3386.546
20040115,3359.543
20040116,3348.377
20040119,3355.356
20040120,3387.62
20040121,3412.166
20040122,3435.852
20040123,3431.558
20040126,3395.149
20040127,3407.722
20040128,3409.527
20040129,3336.772
20040130,3332.279
20040202,3340.927
20040203,3354.915
20040204,3324.271
20040205,3339.974
20040206,3379.02
20040209,3402.638
20040210,3408.146
20040211,3410.262
20040212,3444.769
20040213,3440.905
20040216,3448.206
20040217,3484.235
20040218,3481.286
20040219,3481.912
20040220,3432.766
20040223,3442.337
20040224,3427.238
20040225,3408.824
20040226,3390.601
20040227,3409.77
20040301,3459.669
20040302,3441.864
20040303,3396.071
20040304,3417.164
20040305,3464.216
20040308,3454.002
20040309,3448.325
20040310,3397.862
20040311,3329.066
20040312,3312.355
20040315,3289.075
20040316,3333.575
20040317,3360.895
20040318,3376.357
20040319,3372.741
20040322,3327.626
20040323,3322.858
20040324,3315.502
20040325,3347.94
20040326,3356.583
20040329,3394.297
20040330,3399.416
20040331,3430.293
20040401,3474.884
20040402,3472.106
20040405,3464.923
20040406,3465.927
20040407,3491.034
20040408,3485.906
20040409,3473.858
20040412,3480.087
20040413,3462.066
20040414,3410.095
20040415,3394.496
20040416,3432.975
20040419,3429.345
20040420,3439.631
20040421,3397.646
20040422,3406.514
20040423,3420.5
20040426,3439.472
20040427,3435.441
20040428,3388.833
20040429,3383.641
20040430,3355.606
20040503,3362.217
20040504,3405.268
20040505,3434.527
20040506,3372.264
20040507,3311.19
20040510,3184.486
20040511,3202.689
20040512,3223.957
20040513,3208.618
20040514,3195.533
20040517,3166.46
20040518,3190.772
20040519,3277.223
20040520,3233.242
20040521,3273.628
20040524,3279.672
20040525,3286.978
20040526,3319.316
20040527,3375.937
20040528,3365.92
20040531,3370.137
20040601,3361.357
20040602,3373.371
20040603,3354.898
20040604,3373.465
20040607,3440.147
20040608,3442.347
20040609,3405.24
20040610,3416.074
20040611,3390.349
20040614,3362.296
20040615,3379.324
20040616,3402.855
20040617,3412.86
20040618,3427.414
20040621,3434.505
20040622,3402.468
20040623,3411.228
20040624,3462.559
20040625,3451.754
20040628,3485.559
20040629,3453.971
20040630,3445.348
20040701,3445.262
20040702,3446.508
20040705,3423.971
20040706,3410.525
20040707,3426.286
20040708,3434.346
20040709,3441.48
20040712,3446.368
20040713,3429.839
20040714,3425.549
20040715,3395.743
20040716,3423.497
20040719,3411.449
20040720,3396.418
20040721,3385.599
20040722,3353.635
20040723,3314.228
20040726,3297.972
20040727,3286.457
20040728,3292.852
20040729,3318.148
20040730,3334.01
20040802,3334.706
20040803,3345.007
20040804,3312.848
20040805,3315.127
20040806,3308.275
20040809,3280.981
20040810,3303.852
20040811,3278.184
20040812,3273.911
20040813,3276.538
20040816,3288.311
20040817,3297.333
20040818,3299.542
20040819,3331.021
20040820,3321.896
20040823,3332.438
20040824,3314.074
20040825,3321.118
20040826,3343.947
20040827,3358.346
20040830,3352.028
20040831,3349.489
20040901,3375.279
20040902,3381.7
20040903,3362.248
