"Index" "Bond" "SP500" "NAREIT" "SPGSCI" "TBill" "Inflation" "EAFE"
1982-04-30 0.0268049512061173 0.0414 0.0242802636142907 0.0347959229626071 0.0111042612351360 0.0101832993890020 0.0610617370165163
1982-05-31 0.0157929385676172 -0.0288 -0.00995896306676013 0.00226156242511381 0.010833879651664 0.0120724346076459 -0.0131322940966417
1982-06-30 -0.0167479285271406 -0.0174 -0.0381338320864506 -0.0310227149894222 0.0100431971210567 0.00400801603206404 -0.0807097902728436
1982-07-31 0 -0.0215 0.0381770937437538 0.0212646978810869 0.0112486380658583 0.00200000000000003 -0.0116760622480068
1982-08-31 0.0898725816484229 0.1267 0.065950991831972 -0.00225699441053063 0.00912232926668377 0.00199600798403196 0.000645415363073566
1982-09-30 0.0379233759022765 0.011 0.0456995234065297 -0.030115311997753 0.00645926240532314 0.003976143141153 -0.00634834429309542
1982-10-31 0 0.1126 0.098860078670627 -0.00583849956839053 0.00648560078403456 -0.00199203187250985 0.00425320451921245
1982-11-30 0.0589512551961171 0.0438 0.0454040384689069 0.0383802710616077 0.00683716868627056 -0.00400000000000006 0.0743525480367586
1982-12-31 0.0187372175032614 0.0173 0.0174309163466606 -0.0114953057018550 0.00684596717942089 0.00199600798403196 0.0739385776705871
1983-01-31 0.000984599273786904 0.0348 0.0224136027382134 0.00692823140596108 0.00690756934361824 0 -0.00849719655689804
1983-02-28 0.0267051465985697 0.026 0.0263035298333633 -0.0115629984051036 0.00694278057150904 0 0.0271144874891672
1983-03-31 0.00386255911094935 0.0365 0.0768187382141793 0.0631303698169592 0.00681957306163412 0.0079207920792079 0.0375773063238125
1983-04-30 0 0.0758 0.0501524054928826 0.00970348870297657 0.00738353498315681 0.00590551181102357 0.054180618847403
1983-05-31 0.0142670655425618 -0.0052 0.000659464891345244 0.00523678772610175 0.00699561104369511 0.00196463654223971 -0.00473034503693209
1983-06-30 0.000576224749396565 0.0382 -0.00919059390251625 0.0126469067482777 0.00732176082575988 0.00585937500000008 0.0224852461178332
1983-07-31 0 -0.0313 -0.0138808559861191 0.0340177378204349 0.00775464966335292 0.00194931773879131 0.00249942447462765
1983-08-31 -0.0174107340383169 0.017 -0.00777151738877027 0.0172331449494548 0.00789623885541418 0.00581395348837218 -0.0160135660047950
1983-09-30 0.0307435819087289 0.0136 0.0218238256627918 -0.0279285422064640 0.00791394574797362 0.00193423597678920 0.0375949319598459
1983-10-31 0.00337651930012023 -0.0134 0.0245628128282767 -0.0123559052944018 0.00756015575992141 0.00193050193050182 -0.000619417533002069
1983-11-30 0.0113352454297198 0.0233 0.0141334145598538 0.000868989489365218 0.0074806538161014 0.00192678227360311 0.0234238339146739
1983-12-31 0 -0.0061 0.0149423907825251 0.0479954827780914 0.00759550183223859 0.00574712643678169 0.0401242713761095
1984-01-31 0.0224153421941321 -0.0065 0.0129131619476366 0.0103830959559206 0.00774580422972449 0.00381679389312969 0.0429775922829891
1984-02-29 -0.00564455406984301 -0.0328 -0.0157641395908544 0.00475944128297991 0.00771927067391889 0.00190476190476193 0.00923070323038861
1984-03-31 0 0.0171 0.0069311663479925 0.046797179348094 0.00794050952349265 0.00568181818181813 0.08606790374893
1984-04-30 -0.00969982959758812 0.0069 0.0124505812238153 -0.0113710039399531 0.00841936376777421 0.00189035916824199 -0.0166034460232997
1984-05-31 -0.0326260564486001 -0.0534 -0.0290554695327443 0.0282190154241335 0.0083483378489238 0.00376647834274958 -0.112657039586665
1984-06-30 0 0.0221 0.00254383574089208 -0.023119452571032 0.00848153560903898 0.00375234521575977 -0.000897646144930476
1984-07-31 0.0533111225012813 -0.0143 -0.00735204392922504 -0.072 0.00849930313618624 0.0037383177570094 -0.0681247069607683
