"Index" "weights/EqualWeight" "weights/MinRisk" "weights/MinRisk_PositionLimit" "weights/MinRisk_RiskLimit" "weights/MinRiskConc" "weights/MinRiskConc_PositionLimit" "weights/EqualRisk" "weights/MinRisk_ReturnTarget" "weights/MinRiskConc_ReturnTarget"
1989-06-30 1.44627109014572 0.924141196788048 1.14110622602444 0.978282912653403 1.19228504930551 1.30852354962753 1.19273875124617 0.919588078086853 1.31103616912692
1989-07-31 1.55903101027009 0.946260988968061 1.17482126876305 1.00632955280443 1.24145835516894 1.36562857518384 1.24174061883141 0.939410506860499 1.37173807048188
1989-08-31 1.54987511413742 0.934928269416123 1.18542904900869 1.00545570904430 1.23612404387520 1.36620483952656 1.23643557820019 0.955748197536193 1.37652585722952
1989-09-30 1.61309919135170 0.964646430729392 1.24345754986627 1.04582191946026 1.28446330839683 1.42572656332675 1.28480620595288 1.01057855631893 1.44184451737029
1989-10-31 1.58117161564973 0.992536071332886 1.24455848127452 1.06175795404441 1.28922748232005 1.42167059482229 1.28955864211539 1.00235010013013 1.42326851403635
1989-11-30 1.64060759134663 1.01527010340449 1.28023198364314 1.08889654153806 1.32680968575890 1.46475512804015 1.32714131174456 1.03673303479517 1.47165735323970
1989-12-31 1.73613594598120 1.05841612132954 1.36923628403736 1.15069377973986 1.40055223110266 1.55342744430400 1.40094966968455 1.13134259939536 1.57758692990806
1990-01-31 1.64923384503575 1.03161826465633 1.32265157045812 1.11569973074589 1.35459685617180 1.49812761524447 1.35500433893579 1.09261572031717 1.51710883728260
1990-02-28 1.60809145516613 1.03417646363234 1.31748124649348 1.1157603879697 1.34362008874764 1.48001459478852 1.34382880484991 1.08584000606442 1.49414505362141
1990-03-31 1.55966303749788 1.03956642575481 1.32030465866153 1.12024359582296 1.33326569949094 1.46302961485426 1.33317402283603 1.08695192180112 1.47278737403057
1990-04-30 1.52570734310878 1.01961414755958 1.29138040420927 1.09622562606283 1.3069576775675 1.4336524418435 1.30683408891670 1.06573350944063 1.44488820669312
1990-05-31 1.65895225077793 1.05974690493611 1.35103961794532 1.14555378240974 1.37852812909383 1.51618327183067 1.37882100155963 1.10682805688097 1.52075325119464
1990-06-30 1.64848726623018 1.07559082678743 1.34782658171952 1.15428338858536 1.38384666735393 1.51367254230235 1.38403278906531 1.11978934617300 1.52637094468656
1990-07-31 1.71570252526592 1.13608360379818 1.43374076917651 1.22132511360517 1.45473816083967 1.59508809856845 1.45495733647714 1.19271735963604 1.60479254704455
1990-08-31 1.67068474141383 1.19013904389344 1.51717305501887 1.27671484470708 1.49033827965577 1.63988049344969 1.49053566491032 1.269443293614 1.66756675005197
1990-09-30 1.70073218712362 1.31709821829204 1.70503196692977 1.41444048922118 1.60853318491668 1.77727188288042 1.60874046374628 1.44085040274982 1.84036600320170
1990-10-31 1.75484866291667 1.31645200219429 1.65415870358156 1.40153940052915 1.61671110124471 1.78078497724942 1.61689720656371 1.44016952125400 1.84930287851973
1990-11-30 1.71794902082166 1.33264525505038 1.65193541735961 1.41687196133697 1.61733970602662 1.75434642246620 1.61755737545980 1.45722762905522 1.84998773248486
1990-12-31 1.74855114371693 1.35828135038333 1.67146324158227 1.44225167454267 1.64513674402759 1.77779853049410 1.64535954326619 1.48423289393397 1.88025678602541
1991-01-31 1.73568626240342 1.35881853664462 1.65194157137791 1.43656591533935 1.64340993221595 1.75867242362903 1.64333578013525 1.48479770913549 1.87817558408706
1991-02-28 1.86574365740964 1.38216570066369 1.73232047528780 1.47388348899593 1.69994358727468 1.85554612102370 1.70015222418674 1.50939231736763 1.94010643532162
1991-03-31 1.86142450010198 1.40565511575116 1.78587083764460 1.50505768535365 1.72079797404154 1.87474901203622 1.72062235068466 1.53413670067586 1.96225409384138
1991-04-30 1.89443587838698 1.43541087859563 1.81793985866476 1.53553330202125 1.75357260188366 1.9092952183317 1.75339204259060 1.56532761404712 1.99793904447308
1991-05-31 1.93583949865117 1.45205512093266 1.86127129098733 1.55857450419414 1.77942581283123 1.94577435710680 1.7792544277119 1.58417989369567 2.02608171408372
