"Index" "weights/mES/tact_EqualWeight_CC" "weights/mES/tact_MinRisk_PositionLimit_CC" "weights/mES/tact_MinRisk_RiskLimit_CC" "weights/mES/tact_EqualRisk_CC" "weights/mES/tact_MinRiskConc_CC" "weights/mES/tact_MinRiskConc_PositionLimit_CC"
1987-11-30 0.689751968765074 0.742797966757933 0.735557257776719 0.706879373526081 0.706892398621515 0.706929274172632
1987-12-31 0.701111701102835 0.754514312580943 0.747224926327868 0.718354248640606 0.718367361300132 0.718404484755319
1988-01-31 0.762637734836774 0.812863456912646 0.805332575264557 0.779592541014857 0.779591127284969 0.77964408545795
1988-02-29 0.808160407405164 0.870415188357653 0.862645455693007 0.828797406520341 0.828799993911157 0.828853535733763
1988-03-31 0.810490982658137 0.862471153642195 0.854733980750124 0.827870596947394 0.82787405151626 0.827920835945171
1988-04-30 0.832765410412686 0.879379832214656 0.867770356262383 0.848639190689981 0.848647536791048 0.848693609685726
1988-05-31 0.841177055770761 0.878331986217509 0.862454873961933 0.85429145955542 0.854303072499768 0.854352780964569
1988-06-30 0.869555732904451 0.915602159317918 0.884681220617376 0.885273961543293 0.885269187945773 0.885326109818741
1988-07-31 0.876366756109729 0.922836642365581 0.888875849512591 0.892371377127195 0.892367605753755 0.892419955242657
1988-08-31 0.852845045806623 0.901260440593789 0.882248216893514 0.869505569095245 0.869505395838366 0.86955553672201
1988-09-30 0.866857168163904 0.920505582876775 0.898819462926594 0.884972647844634 0.884977726085556 0.885026042193162
1988-10-31 0.906086341780463 0.961533086856969 0.944706636248646 0.925124055218268 0.925113433324394 0.925182440765379
1988-11-30 0.912532927563114 0.96007496391018 0.949598663237312 0.928673300737656 0.928652255909709 0.928742442143021
1988-12-31 0.956257313221817 0.995347740347907 0.981628150295739 0.969051326880743 0.969012075658492 0.96913239085734
1989-01-31 1.00157543051984 1.04535462459881 1.00683070948299 1.01622389643856 1.01618237817877 1.01630036661667
1989-02-28 0.99648340976601 1.03098816887579 1.0111163506775 1.00804977857779 1.00801904486962 1.00812612313511
1989-03-31 1.04235820709349 1.06570917138036 1.04483568288768 1.05051461816431 1.05049444649813 1.05058663100672
1989-04-30 1.10137678388797 1.12234257650057 1.08768024178364 1.10862769255077 1.10860314449715 1.10870066540063
1989-05-31 1.14135607000941 1.17695554680424 1.12813207961612 1.15500046975002 1.15496983342001 1.1550984965071
1989-06-30 1.17669195668539 1.21076475752028 1.19122644368607 1.18935538765558 1.18933046493354 1.18944155387613
1989-07-31 1.22886538536087 1.2827527864589 1.21617513054724 1.25024983695501 1.25023333780371 1.25033592722909
1989-08-31 1.24962946792852 1.286427300863 1.20080888842671 1.26222847196412 1.26220660604106 1.26230884242754
1989-09-30 1.27399680005424 1.29101554180342 1.22759208249291 1.2774809974009 1.27745975854074 1.27756399657535
1989-10-31 1.24538690604926 1.27140202775038 1.26141491281059 1.25795690785397 1.25793584882245 1.2580433905746
1989-11-30 1.26346478594176 1.28601761391944 1.28240846738113 1.27483178183328 1.27481056541565 1.27493484292929
1989-12-31 1.31997480824055 1.31165547562864 1.31386024227713 1.31455299005104 1.31453140317979 1.31467597009651
1990-01-31 1.25535032727041 1.28552746633735 1.28649866806089 1.25248798398112 1.25246964600824 1.25259823453955
1990-02-28 1.24204568802398 1.29112674316675 1.28685427058166 1.24096912349945 1.2409473713183 1.24108420102048
1990-03-31 1.26176360811083 1.29517508658679 1.29147338058098 1.25792413009765 1.25790231199164 1.25803803251951
1990-04-30 1.22731397308377 1.26123536826818 1.26903343284912 1.22531255828657 1.2252921446978 1.22542889875805
1990-05-31 1.28727372986733 1.32730145944232 1.31746683310929 1.28820671030976 1.28821483236243 1.28830557825727
1990-06-30 1.28758562449382 1.34083758532232 1.34316369727894 1.29788101629382 1.29788935666993 1.29799490763644
1990-07-31 1.32707917180401 1.3906890141984 1.39207094526819 1.32525886563767 1.32525890306954 1.32536427594425
1990-08-31 1.31386571346646 1.40320744904773 1.40842773715166 1.28162726345114 1.28161887161221 1.2816970211045
1990-09-30 1.38437448330962 1.48050246623603 1.48934690266533 1.30832999769388 1.30829136721587 1.3083659820151
1990-10-31 1.3300136370601 1.45123472356296 1.47780346297153 1.27138526963278 1.27136881188585 1.27140884982256
1990-11-30 1.37402865584236 1.53099582696043 1.5087574784408 1.32888763751866 1.32887146555827 1.32889336989692
1990-12-31 1.39092777584624 1.55962151267995 1.53258087242353 1.3511523693554 1.35114598398566 1.35115366121648
1991-01-31 1.40900890518691 1.57285844732943 1.5174813028909 1.3665079163947 1.36653403132192 1.36648810939686
1991-02-28 1.49257377151893 1.64894474986382 1.54736400787018 1.43672050689439 1.43674044629812 1.43669699257433
1991-03-31 1.57972749775627 1.7207750560512 1.5780341604184 1.50648984089251 1.50646994749707 1.50645951869048
1991-04-30 1.61800331463688 1.75806659094829 1.61144113548681 1.54180551696753 1.5417867368935 1.54176785386037
1991-05-31 1.6636298783929 1.80109211494224 1.63010468602813 1.58187903361085 1.58186167381793 1.58184678637186
1991-06-30 1.59668820669576 1.74260329185922 1.60819009490696 1.52625294201166 1.52623583883968 1.5262360420125
1991-07-31 1.67827175695964 1.81919905345559 1.6648394152416 1.59837981783324 1.59834690715633 1.59835157397646
1991-08-31 1.71862701775413 1.86546875206039 1.71862941324077 1.6403034934768 1.64027192531159 1.64028324711885
1991-09-30 1.73827456098953 1.89260813128546 1.76105913833456 1.6645323633536 1.66451026984199 1.66451724774432
1991-10-31 1.76961271098425 1.92469952928468 1.79974692070684 1.69447907497225 1.69445986267024 1.69446795705549
1991-11-30 1.71717806241621 1.88672646044909 1.79116403882163 1.65724686959798 1.65723146233693 1.65724562832596
1991-12-31 1.7853052876898 1.96197518994396 1.83234320125625 1.72577899699274 1.72575750041323 1.7257990393883
1992-01-31 1.81400475612833 1.98025961688264 1.81247424352415 1.74224219707251 1.74218168072865 1.74230037943238
1992-02-29 1.80138336776845 1.97155494460044 1.82099156941368 1.73461532595629 1.73457467977567 1.73465332462539
1992-03-31 1.7813718636365 1.94922451150195 1.81247089252976 1.71522118314269 1.71518106680741 1.71526232497841
1992-04-30 1.82838354101698 1.99087804923979 1.84282439794774 1.75473355681214 1.75467979064091 1.75489912619363
1992-05-31 1.88507214322581 2.0503331526517 1.90024459934426 1.80920602864291 1.80914603704187 1.80940528961778
1992-06-30 1.87141457433644 2.04661333544006 1.92744970051002 1.80636017514843 1.80630766997762 1.80629069680284
1992-07-31 1.92711483466142 2.11147361571623 1.97148862095377 1.86317536661655 1.86313831554988 1.86309559964528
1992-08-31 1.91376923555209 2.10609921941287 1.99484221918026 1.85781071496261 1.85780015668721 1.85773687433984
1992-09-30 1.95634724299829 2.15178097039936 2.03310219151506 1.89906150245121 1.89905231390591 1.898981615379
1992-10-31 1.93031843034859 2.12391082638546 1.99134142534887 1.87241362882077 1.87239101992697 1.87233302786801
