"","V1","V2","V3","V4"
"",0.0517,0.4737,0.4736,0.0011
"",0.0581,0.471,0.4706,4e-04
"",0.0635,0.4678,0.4684,2e-04
"",0.0673,0.4661,0.4667,0
"",0.07,0.4649,0.4648,3e-04
"",0.0714,0.4652,0.4632,2e-04
"",0.0721,0.4645,0.4632,3e-04
"",0.0719,0.464,0.4639,2e-04
"",0.071,0.4648,0.4641,1e-04
"",0.0694,0.4652,0.4651,2e-04
"",0.0675,0.466,0.4664,1e-04
"",0.0652,0.4683,0.4664,2e-04
"",0.0625,0.4685,0.4685,4e-04
"",0.0601,0.4702,0.4697,0
"",0.0571,0.4716,0.471,3e-04
"",0.0539,0.4728,0.4728,5e-04
"",0.0511,0.4749,0.4739,1e-04
"",0.0484,0.476,0.4756,1e-04
"",0.0454,0.4774,0.4772,0
"",0.0426,0.479,0.4784,1e-04
"",0.0397,0.48,0.4802,1e-04
"",0.0372,0.482,0.4807,1e-04
"",0.0344,0.4828,0.4827,0
"",0.0321,0.4843,0.4836,1e-04
"",0.0297,0.4855,0.4848,0
"",0.0277,0.4871,0.4851,1e-04
"",0.0253,0.487,0.4874,2e-04
"",0.0233,0.4885,0.4879,2e-04
"",0.0216,0.49,0.4882,3e-04
"",0.0199,0.4912,0.4888,1e-04
"",0.0182,0.491,0.4907,1e-04
"",0.0168,0.4927,0.4904,0
"",0.0152,0.4925,0.4922,1e-04
"",0.0141,0.4942,0.4917,0
"",0.0128,0.4954,0.4918,0
"",0.0116,0.4958,0.4923,3e-04
"",0.0105,0.4951,0.4944,0
"",0.0096,0.4965,0.4939,0
"",0.0086,0.4971,0.4942,1e-04
"",0.0077,0.4972,0.4951,0
"",0.007,0.4978,0.4952,0
"",0.0062,0.4978,0.4959,2e-04
"",0.0055,0.4981,0.4962,3e-04
"",0.0048,0.4976,0.4974,2e-04
"",0.0042,0.4982,0.4975,1e-04
"",0.0037,0.4993,0.4968,2e-04
"",0.0031,0.4983,0.4983,2e-04
"",0.0027,0.499,0.4982,1e-04
"",0.0023,0.4988,0.4988,1e-04
"",0.0019,0.4999,0.498,2e-04
"",0.0015,0.4995,0.499,0
"",0.0011,0.4998,0.4989,2e-04
"",8e-04,0.501,0.498,2e-04
"",5e-04,0.5008,0.4987,0
"",2e-04,0.5,0.4997,1e-04
"",0,0.5029,0.497,1e-04
"",0,0.51,0.4899,0
"",0,0.5177,0.4821,2e-04
"",0,0.5253,0.4747,0
"",0,0.5324,0.4673,2e-04
"",0,0.5386,0.4614,0
"",0,0.5463,0.4535,1e-04
"",0,0.5534,0.4466,0
"",0,0.5607,0.4392,1e-04
"",0,0.5676,0.4322,2e-04
"",0,0.5761,0.4237,2e-04
"",0,0.5828,0.417,2e-04
"",0,0.5893,0.4106,1e-04
"",0,0.5964,0.4035,2e-04
"",0,0.6052,0.3947,0
"",0,0.6107,0.3893,0
"",0,0.6175,0.3824,1e-04
"",0,0.6243,0.3757,0
"",0,0.6317,0.3681,2e-04
"",0,0.6393,0.3605,2e-04
"",0,0.647,0.3529,1e-04
"",0,0.6559,0.344,1e-04
"",0,0.6609,0.3389,2e-04
"",0,0.6684,0.3314,2e-04
"",0,0.6771,0.3228,1e-04
"",0,0.6818,0.3181,1e-04
"",0,0.6894,0.3106,0
"",0,0.6966,0.3032,2e-04
"",0,0.7042,0.2956,1e-04
"",0,0.7109,0.2891,0
"",0,0.7182,0.2818,1e-04
"",0,0.7262,0.2737,1e-04
"",0,0.7346,0.2654,0
"",0,0.7405,0.2594,1e-04
"",0,0.7471,0.2528,1e-04
"",0,0.7544,0.2455,1e-04
"",0,0.7624,0.2375,1e-04
"",0,0.7698,0.2301,1e-04
"",0,0.7767,0.2232,1e-04
"",0,0.7831,0.2169,0
"",0,0.7907,0.2093,0
"",0,0.7979,0.2021,1e-04
"",0,0.8061,0.1938,1e-04
"",0,0.8142,0.1857,1e-04
"",0,0.8207,0.179,3e-04
"",0,0.8296,0.1704,0
"",0,0.8352,0.1648,0
"",0,0.8417,0.1582,1e-04
"",0,0.8496,0.1502,2e-04
"",0,0.8566,0.1433,0
"",0,0.8661,0.1338,1e-04
"",0,0.8731,0.1267,2e-04
"",0,0.8783,0.1217,0
"",0,0.8862,0.1137,1e-04
"",0,0.8938,0.1062,0
"",0,0.9018,0.0982,1e-04
"",0,0.9079,0.092,1e-04
