Nasdaq	NYSE
0.121107833	-0.015701612
0.133685604	0.165456684
-0.293068507	-1.25775194
-0.140467396	-0.504952929
0.306220335	0.398098342
0.425870658	0.577674062
0.682682803	1.328453882
0.163655856	-0.420455165
0.113143516	-0.150999331
-0.883397971	-1.518325573
0.246874631	0.594561244
0.63652334	0.652533203
1.056094802	1.365780703
0	0
1.701119604	0.757159017
-0.030561413	-0.311159952
0.311289048	0.133272562
-0.152471594	-0.758512231
0.596362748	0.729067269
1.026145299	1.821781932
0.317774648	-0.481742379
0.02992668	0.277733817
0.935170767	1.434359585
0.779546852	0.445150905
0.2878376	0.371699906
-0.405560846	-0.228262804
0.017667324	-0.258606244
0.058868548	-0.113944668
-0.170814355	-0.836847778
0.229648268	0.476526227
0.609829496	0.804513934
0.739687114	-0.058120284
-0.302202822	-0.444451198
0.39500487	-0.286959853
-0.348452644	-0.346535676
0.365843444	-0.057417054
0.537620164	0.677331162
1.026708953	1.383927777
0.364548137	0.296942515
0.696906416	0.898810747
-0.277047643	-0.744001625
0.22621885	-0.339291288
0.978140352	1.586333999
0.630142891	0.361521411
-1.484080664	-1.848887874
-0.543110636	-0.610072754
0.791053961	0.977001575
1.247254626	1.481959053
0.990024955	0.553546787
-0.066064746	-0.608676474
0.445092363	-0.236614941
-0.131672812	-0.99329587
-0.638874233	-1.130892027
0.292405935	0.256439659
0	0
0.450723569	1.057716918
1.193897573	1.986246104
0.281400694	-0.414478651
0.302163938	-0.387353918
-0.626927417	-1.199009266
0.211216196	0.517508385
0.792136703	0.668388363
0.988071168	0.718647338
0.751843431	0.01301863
0.005274679	0.137893376
0.903130318	0.903297072
1.370524489	1.567105631
-0.175456748	-0.281951493
0.884460952	0.603572536
0.3118054	0.825889121
-0.455255396	-0.772807209
0.066627376	0.652370612
-0.58063519	-1.188272823
-1.704734387	-1.979551359
-2.645151033	-2.39970604
1.054754792	1.560463845
0.985751795	1.357475164
0.625609905	0.801123798
1.363752137	1.049421006
1.324998842	1.724926887
0.08159519	-0.514986206
0.513538691	0.488864366
0.177345439	-0.396395568
0.131539025	-0.50336307
0.544548313	1.24005132
0.075397727	0.053298629
0.205797538	1.197279807
-0.744882401	-1.13162521
-0.35932122	-0.591203252
-0.045640103	0.682799887
-0.350601208	-0.604351419
0.730300436	0.105745735
-1.061705129	-1.818129241
0.183682893	0.280707263
-0.932097294	-1.452471291
-0.304037749	0.026900488
0.376046805	-0.053808213
-1.023264742	-1.294967278
0.140154193	0.929073288
0.191744676	1.12167443
0	0
1.480061963	1.707416988
-1.061575651	-1.801577755
-0.232276152	0.081441519
-0.212100129	0.349191184
0.989392797	1.264611969
1.405318443	2.457812651
1.241128411	1.4608888
0.751228627	0.48265771
-0.084294042	0.455303993
1.070689888	1.451187817
0.616470468	-0.385007569
0.719287705	0.905408655
-0.208449551	-0.905408655
-0.901807277	-0.625996802
0.581013767	0.812210011
0.800062454	0.571789069
0	0
0.52503673	0.295763091
-1.568811529	-2.321648824
-0.587344452	-0.317101601
0.582464142	-0.1259227
0.627601856	-0.26675975
-1.549357745	-1.849509601
-3.585332249	-2.679380491
-0.409270536	-0.107069763
-0.766760479	-1.692995355
-2.526747559	-0.911684291
1.300120953	1.425659903
1.453664888	0.201289338
-1.10910699	0.751878475
1.10910699	1.668542568
